Fp1,Fp2,F3,F4,F7,F8,T3,T4,C3,C4,T5,T6,P3,P4,O1,O2,target
-6.8966,-8.8026,-5.2504,-9.1371,-1.0561,-6.0606,-3.0667,-7.935,-6.9307,-10.168,-6.7652,-7.6748,-5.0251,-5.0165,-15.247,-6.8309,0
-5.9113,-7.8317,-4.2142,-8.1218,-3.0363,-8.0808,-3.0667,-7.935,-3.9604,-9.1582,-8.7356,-6.6992,-4.0201,-5.0165,-12.376,-7.8161,0
2.9557,2.8479,8.2211,5.0761,0.92409,0,4.9333,4.748,9.901,4.9832,4.0722,6.9593,12.06,6.8647,-12.376,4.0066,0
1.9704,1.877,10.294,7.1066,2.9043,5.0505,5.9333,5.7236,11.881,5.9933,6.0427,7.935,13.065,7.8548,-9.5056,4.0066,0
-4.9261,-3.9482,5.1123,-1.0152,5.8746,-3.0303,0.93333,-4.0325,5.9406,-5.1178,0.13136,-2.7967,3.0151,-3.0363,-9.5056,-6.8309,0
-2.9557,-2.9773,-1.1054,-4.0609,1.9142,-5.0505,-4.0667,-7.935,-5.9406,-12.189,-5.78,-8.6504,-6.0302,-11.947,-15.247,-12.742,0
-6.8966,-6.8608,-9.3955,-8.1218,-6.9967,-7.0707,-3.0667,-8.9106,-15.842,-17.239,-8.7356,-12.553,-12.06,-15.908,-8.5486,-11.757,0
-5.9113,-7.8317,-12.504,-10.152,-5.0165,-8.0808,-2.0667,-7.935,-12.871,-15.219,-7.7504,-9.626,-9.0452,-12.937,-4.7209,-5.8456,0
-11.823,-12.686,-10.432,-11.168,-5.0165,-8.0808,-4.0667,-4.0325,-9.901,-12.189,-6.7652,-5.7236,-5.0251,-6.9967,-5.6778,0.06568,0
-0.98522,-3.9482,3.0397,-3.0457,4.8845,0,1.9333,6.6992,1.9802,-0.06734,0.13136,6.9593,4.0201,5.8746,-10.463,10.903,0
1.9704,2.8479,9.2573,4.0609,-0.06601,4.0404,-1.0667,6.6992,2.9703,3.9731,3.087,6.9593,6.0302,6.8647,-3.764,8.9327,0
-2.9557,-1.0356,-0.06909,-1.0152,-2.0462,-1.0101,-11.067,-2.0813,-3.9604,-2.0875,-8.7356,-4.748,-5.0251,-2.0462,-6.6348,-7.8161,0
-3.9409,-1.0356,-1.1054,2.0305,-2.0462,-1.0101,-5.0667,-2.0813,-3.9604,-0.06734,-8.7356,-3.7724,-3.0151,-1.0561,-4.7209,-10.772,0
-0.98522,-2.0065,-0.06909,1.0152,2.9043,-1.0101,-1.0667,-1.1057,0.9901,2.963,-7.7504,-4.748,0,0.92409,0.0638,-11.757,0
0,-2.0065,3.0397,0,8.8449,-3.0303,-3.0667,-4.0325,2.9703,-0.06734,-12.677,-9.626,-3.0151,-4.0264,-7.5917,-17.667999,0
-3.9409,-4.9191,-3.1779,-3.0457,0.92409,-9.0909,-4.0667,-9.8862,-4.9505,-6.1279,-18.587999,-17.431,-11.055,-11.947,-6.6348,-25.549999,0
-2.9557,-3.9482,0.96718,-1.0152,1.9142,-5.0505,-6.0667,-7.935,-4.9505,-8.1481,-14.647,-12.553,-13.065,-12.937,-5.6778,-18.653999,0
0,0.90615,5.1123,2.0305,3.8944,1.0101,-0.06667,-1.1057,-2.9703,-2.0875,-5.78,-1.8211,-7.0352,-5.0165,-3.764,-2.89,0
-4.9261,-2.0065,-1.1054,1.0152,-0.06601,-1.0101,-1.0667,-2.0813,-7.9208,-2.0875,-2.8243,1.1057,-5.0251,-3.0363,0.0638,4.9918,0
-6.8966,-4.9191,-2.1416,-1.0152,-1.0561,-3.0303,-4.0667,-3.0569,-7.9208,-3.0976,1.1166,1.1057,0,-1.0561,-1.8501,9.9179,0
-1.9704,-3.9482,-0.06909,-1.0152,0.92409,-4.0404,-4.0667,-5.0081,0,-4.1077,1.1166,-0.84553,1.005,-1.0561,1.0207,6.9622,0
-3.9409,-2.0065,3.0397,0,4.8845,-5.0505,-1.0667,-5.9837,0,-5.1178,-2.8243,-4.748,1.005,-3.0363,-2.807,-0.91954,0
-0.98522,-1.0356,-0.06909,-1.0152,-0.06601,-5.0505,-2.0667,-3.0569,-3.9604,-5.1178,-5.78,-6.6992,-2.0101,-4.0264,-5.6778,-8.8013,0
0,2.8479,5.1123,6.0914,1.9142,0,1.9333,0.84553,-0.9901,0.94276,-8.7356,-6.6992,-3.0151,-3.0363,-8.5486,-15.698,0
2.9557,3.8188,8.2211,6.0914,6.8647,-3.0303,-0.06667,-4.0325,2.9703,0.94276,-14.647,-9.626,-9.0452,-6.0066,0.0638,-24.565001,0
2.9557,2.8479,9.2573,6.0914,6.8647,-6.0606,0.93333,-7.935,1.9802,-2.0875,-11.691,-11.577,-9.0452,-8.9769,1.9777,-26.535,0
4.9261,0.90615,5.1123,1.0152,7.8548,-8.0808,2.9333,-11.837,-1.9802,-6.1279,-6.7652,-10.602,-7.0352,-9.967,1.9777,-21.608999,0
2.9557,0.90615,8.2211,2.0305,4.8845,-9.0909,1.9333,-7.935,6.9307,-4.1077,6.0427,-2.7967,6.0302,-4.0264,10.59,-3.8752,0
7.8818,4.7896,11.33,5.0761,17.756001,-2.0202,14.933,1.8211,11.881,2.963,18.851,8.9106,17.084999,6.8647,9.6332,15.829,0
6.8966,1.877,8.2211,0,17.756001,-9.0909,18.933001,-3.0569,5.9406,-4.1077,15.895,2.0813,11.055,1.9142,5.8054,12.874,0
9.8522,4.7896,6.1485,-3.0457,10.825,-8.0808,11.933,-5.9837,2.9703,-7.138,7.0279,-7.6748,4.0201,-5.0165,8.6762,0.06568,0
14.778,12.557,11.33,4.0609,12.805,1.0101,11.933,-0.13008,4.9505,-3.0976,7.0279,-5.7236,5.0251,-3.0363,11.547,-2.89,0
17.733999,14.498,13.402,6.0914,25.677,4.0404,13.933,0.84553,6.9307,-2.0875,7.0279,-5.7236,4.0201,-4.0264,8.6762,-8.8013,0
8.867,7.7023,3.0397,-2.0305,21.716,-7.0707,5.9333,-13.789,-8.9109,-15.219,-5.78,-18.407,-12.06,-17.888,12.504,-27.521,0
5.9113,5.7605,-4.2142,-6.0914,7.8548,-8.0808,-6.0667,-17.691,-11.881,-18.249001,-6.7652,-21.333,-14.07,-20.858,12.504,-31.461,0
10.837,10.615,-1.1054,-2.0305,5.8746,-3.0303,-3.0667,-12.813,-6.9307,-10.168,-3.8095,-13.528,-9.0452,-14.917,12.504,-26.535,0
10.837,11.586,2.0035,1.0152,9.835,2.0202,6.9333,-5.9837,-6.9307,-5.1178,-3.8095,-6.6992,-8.0402,-8.9769,10.59,-16.683001,0
10.837,8.6731,2.0035,-2.0305,8.8449,2.0202,5.9333,-4.0325,-5.9406,-9.1582,-4.7947,-4.748,-9.0452,-7.9868,-1.8501,-7.8161,0
7.8818,8.6731,5.1123,-2.0305,10.825,-3.0303,1.9333,-5.0081,-3.9604,-12.189,-0.85386,-5.7236,-4.0201,-8.9769,2.9346,-0.91954,0
10.837,8.6731,3.0397,-1.0152,12.805,-4.0404,4.9333,-5.0081,-3.9604,-10.168,3.087,-3.7724,-1.005,-6.9967,9.6332,4.9918,0
